,ids,exp
1709,2442,1
1710,3327,1
1711,3001,1
1712,3443,2
1713,2260,1
1714,3435,1
1715,1103,1
1716,2969,1
1717,2424,1
1718,3016,1
1719,2311,1
1720,437,1
1721,639,1
1722,3833,2
1723,3773,1
1724,2268,1
1725,2865,2
1726,411,3
1727,1872,1
1728,112,1
1729,1671,1
1730,636,1
1731,406,1
1732,1382,1
1733,2666,1
1734,238,1
1735,3515,1
1736,2180,1
1737,2725,1
1738,60,2
1739,85,1
1740,1333,3
1741,2534,1
1742,2798,1
1743,547,1
1744,2539,2
1745,2746,1
1746,2662,1
1747,2613,1
1748,1647,1
1749,2169,1
1750,3493,1
1751,3919,1
1752,3857,1
1753,117,1
1754,2446,3
1755,1803,2
1756,1632,2
1757,3555,1
1758,934,1
1759,2609,1
1760,2058,1
1761,3340,2
1762,78,1
1763,1604,1
1764,3096,1
1765,185,1
1766,1534,1
1767,2720,1
1768,460,1
1769,3735,1
1770,2201,1
1771,3846,1
1772,1455,1
1773,2181,1
1774,83,1
1775,1175,1
1776,2240,1
1777,1225,1
1778,2289,1
1779,3766,1
1780,3563,1
1781,764,1
1782,3077,1
1783,2522,1
1784,3844,1
1785,3073,1
1786,3681,1
1787,3092,1
1788,3912,1
1789,2608,1
1790,1603,1
1791,3392,1
1792,708,1
1793,942,1
1794,3009,1
