,ids,exp
1311,3136,8
1312,3591,28
1313,501,5
1314,3025,7
1315,317,4
1316,3475,47
1317,3571,4
1318,1006,10
1319,950,3
1320,1597,5
1321,2082,13
1322,3627,2
1323,3019,1
1324,269,1
1325,1255,2
1326,756,7
1327,270,2
1328,86,5
1329,1847,2
1330,1592,1
1331,781,1
1332,1387,2
1333,3675,5
1334,363,4
1335,1770,5
1336,1570,24
1337,3329,2
1338,1244,8
1339,2090,5
1340,362,6
1341,2126,6
1342,273,3
1343,3251,8
1344,3679,10
1345,1954,2
1346,215,16
1347,560,1
1348,494,22
1349,1047,13
1350,1772,12
1351,17,1
1352,11,3
1353,1790,41
1354,1793,10
1355,3670,35
1356,1789,14
1357,3273,1
1358,2347,5
1359,188,7
1360,3689,5
1361,3649,9
1362,12,2
1363,232,2
1364,7,1
1365,432,10
1366,83,5
1367,3583,9
1368,3295,6
1369,2738,7
1370,2194,1
1371,2952,6
1372,2155,9
1373,461,4
1374,1834,1
1375,1058,14
1376,304,6
1377,2669,3
1378,52,2
1379,2739,23
1380,2654,7
1381,120,3
1382,313,3
1383,3156,3
1384,181,5
1385,2901,1
1386,290,5
1387,2059,7
1388,1798,6
1389,1678,1
1390,3040,1
1391,2196,5
1392,1176,4
1393,1044,17
1394,3169,1
1395,544,6
1396,1803,6
1397,1804,13
1398,1645,5
1399,2617,2
1400,2567,2
1401,2073,1
1402,1235,1
1403,265,6
1404,1340,2
1405,116,1
1406,1185,3
1407,3288,6
1408,1523,2
1409,1462,1
1410,213,1
1411,1290,6
1412,27,9
1413,3060,5
1414,3596,12
1415,1467,1
1416,372,5
1417,1842,2
1418,3245,5
1419,2856,3
1420,2611,2
1421,1206,1
1422,2597,6
1423,1051,4
1424,2913,5
1425,705,3
1426,855,3
1427,3464,9
1428,3511,12
1429,1065,5
1430,2653,1
1431,2988,3
1432,2527,1
1433,612,5
1434,245,1
1435,1794,5
1436,738,2
1437,275,2
1438,3502,22
1439,3569,10
1440,3358,3
1441,3538,5
1442,3539,5
1443,2156,6
1444,498,18
1445,1608,6
1446,530,1
1447,1683,4
1448,479,5
1449,2076,1
1450,3280,62
1451,1367,1
1452,2410,1
1453,1458,7
1454,2098,1
1455,3014,16
1456,2804,2
1457,2184,3
1458,340,9
1459,254,3
1460,2937,4
1461,1955,4
1462,711,1
1463,355,1
1464,2330,3
1465,2478,2
1466,3520,8
1467,2928,3
1468,1011,5
1469,2584,12
1470,2656,2
1471,3038,1
1472,1764,9
1473,1417,3
1474,3163,1
1475,1049,5
1476,1744,3
1477,4,8
1478,3257,1
1479,2132,1
1480,2124,11
1481,2105,6
1482,1289,4
1483,1952,6
1484,889,19
1485,845,4
1486,2622,58
1487,1972,2
1488,3545,5
1489,1189,3
1490,536,1
1491,1105,3
1492,3379,1
1493,1940,2
1494,3264,1
1495,840,9
1496,1309,6
1497,1876,1
1498,1585,4
1499,411,2
1500,293,1
1501,1990,4
1502,2319,12
1503,320,1
1504,1368,1
1505,2507,17
1506,3075,5
1507,948,2
1508,3482,1
1509,1559,4
1510,2826,1
1511,903,3
1512,1921,1
1513,2980,6
1514,2835,1
1515,3041,8
1516,1362,2
1517,1855,2
1518,1153,2
1519,3167,2
1520,764,2
1521,62,1
1522,823,3
1523,1214,2
1524,1312,1
1525,2138,3
1526,2208,5
1527,459,1
1528,189,5
1529,1849,1
1530,3090,22
1531,208,1
1532,2968,27
1533,3704,4
1534,3082,1
1535,1853,6
1536,141,2
1537,515,4
1538,3376,11
1539,1806,3
1540,2576,2
1541,769,1
1542,255,2
1543,312,2
1544,2750,10
1545,1482,5
1546,866,1
1547,2021,9
1548,870,2
1549,8,3
1550,366,2
1551,168,1
1552,2398,1
1553,268,1
1554,1451,1
1555,594,2
1556,2260,1
1557,561,1
1558,1307,2
1559,1941,8
1560,3631,1
1561,1013,1
1562,3372,1
1563,1800,15
1564,1818,8
1565,2095,2
1566,2864,1
1567,3160,1
1568,3419,1
1569,222,1
1570,423,1
1571,2215,1
1572,2114,2
1573,2187,1
1574,2356,1
1575,2839,3
1576,2859,3
1577,3142,9
1578,3388,9
1579,3261,11
1580,943,3
1581,3465,1
1582,465,3
1583,2973,1
1584,3661,4
1585,2352,1
1586,1936,4
1587,3213,3
1588,2951,3
1589,3618,4
1590,3671,4
1591,2206,1
1592,2335,7
1593,2524,2
1594,2189,2
1595,3578,3
1596,2815,4
1597,1000,2
1598,3360,6
1599,1747,2
1600,3135,7
1601,1998,1
